emp_no,birth_date,first_name,last_name,to_date,title
10001,1953-09-02,Georgi,Facello,9999-01-01,Senior Engineer
10004,1954-05-01,Chirstian,Koblick,9999-01-01,Senior Engineer
10009,1952-04-19,Sumant,Peac,9999-01-01,Senior Engineer
10018,1954-06-19,Kazuhide,Peha,9999-01-01,Senior Engineer
10035,1953-02-08,Alain,Chappelet,9999-01-01,Senior Engineer
10053,1954-09-13,Sanjiv,Zschoche,9999-01-01,Senior Staff
10058,1954-10-01,Berhard,McFarlin,9999-01-01,Senior Staff
10066,1952-11-13,Kwee,Schusler,9999-01-01,Senior Engineer
10067,1953-01-07,Claudi,Stavenow,9999-01-01,Senior Engineer
10070,1955-08-20,Reuven,Garigliano,9999-01-01,Technique Leader
10072,1952-05-15,Hironoby,Sidou,9999-01-01,Senior Engineer
10076,1952-06-13,Erez,Ritzmann,9999-01-01,Senior Engineer
10088,1954-02-25,Jungsoon,Syrzycki,9999-01-01,Senior Staff
10100,1953-04-21,Hironobu,Haraldson,9999-01-01,Senior Staff
10103,1953-11-26,Akemi,Birch,9999-01-01,Engineer
10126,1954-08-07,Kayoko,Valtorta,9999-01-01,Senior Staff
10129,1955-12-02,Armond,Peir,9999-01-01,Technique Leader
10130,1955-04-27,Nishit,Casperson,9999-01-01,Senior Engineer
10134,1953-04-15,Diederik,Siprelle,9999-01-01,Senior Engineer
10138,1955-04-24,Perry,Shimshoni,9999-01-01,Senior Engineer
10150,1955-01-29,Zhenbing,Perng,9999-01-01,Senior Engineer
10153,1955-12-15,Heekeun,Majewski,9999-01-01,Assistant Engineer
10157,1954-04-23,Nigel,Aloisi,9999-01-01,Senior Engineer
10198,1953-05-28,Pranav,Furedi,9999-01-01,Senior Engineer
10215,1954-04-02,Xiaobin,Duclos,9999-01-01,Senior Staff
10224,1954-05-17,Leon,Trogemann,9999-01-01,Senior Engineer
10233,1954-04-01,Lein,Vendrig,9999-01-01,Senior Staff
10258,1955-12-12,Basil,Ishibashi,9999-01-01,Senior Engineer
10272,1954-11-30,Yishai,Cannane,9999-01-01,Staff
10282,1953-11-27,Hercules,Benzmuller,9999-01-01,Engineer
10283,1953-07-08,Kauko,Birjandi,9999-01-01,Senior Engineer
10326,1953-02-13,Masali,Czap,9999-01-01,Staff
10340,1952-08-20,Djelloul,Laventhal,9999-01-01,Senior Staff
10347,1953-10-03,Pradeep,Kaminger,9999-01-01,Staff
10355,1952-12-10,Satyanarayana,Cochrane,9999-01-01,Staff
