emp_no,title,to_date,salary,birth_date
10001,Senior Engineer,9999-01-01,60117,1953-09-02
10004,Senior Engineer,9999-01-01,40054,1954-05-01
10005,Senior Staff,9999-01-01,78228,1955-01-21
10006,Senior Engineer,9999-01-01,40000,1953-04-20
10009,Senior Engineer,9999-01-01,60929,1952-04-19
10018,Senior Engineer,9999-01-01,55881,1954-06-19
10019,Staff,9999-01-01,44276,1953-01-23
10020,Engineer,9999-01-01,40000,1952-12-24
10022,Engineer,9999-01-01,40000,1952-07-08
10023,Engineer,9999-01-01,47883,1953-09-29
10026,Senior Engineer,9999-01-01,47585,1953-04-03
10035,Senior Engineer,9999-01-01,41538,1953-02-08
10047,Senior Engineer,9999-01-01,54982,1952-06-29
10051,Senior Engineer,9999-01-01,48817,1953-07-28
10053,Senior Staff,9999-01-01,67854,1954-09-13
10057,Senior Engineer,9999-01-01,49616,1954-05-30
10058,Senior Staff,9999-01-01,52787,1954-10-01
10059,Senior Staff,9999-01-01,71218,1953-09-19
10063,Senior Engineer,9999-01-01,40000,1952-08-06
10066,Senior Engineer,9999-01-01,69736,1952-11-13
10067,Senior Engineer,9999-01-01,44642,1953-01-07
10070,Technique Leader,9999-01-01,55999,1955-08-20
10072,Senior Engineer,9999-01-01,40000,1952-05-15
10074,Technique Leader,9999-01-01,61714,1955-08-28
10076,Senior Engineer,9999-01-01,47319,1952-06-13
10088,Senior Staff,9999-01-01,65957,1954-02-25
10091,Senior Engineer,9999-01-01,40000,1955-10-04
10096,Engineer,9999-01-01,61395,1954-09-16
10097,Senior Staff,9999-01-01,44886,1952-02-27
10100,Senior Staff,9999-01-01,54398,1953-04-21
10103,Engineer,9999-01-01,68158,1953-11-26
10106,Senior Engineer,9999-01-01,62928,1952-08-29
10126,Senior Staff,9999-01-01,40000,1954-08-07
10127,Senior Engineer,9999-01-01,40000,1952-02-24
10129,Technique Leader,9999-01-01,40000,1955-12-02
10130,Senior Engineer,9999-01-01,40000,1955-04-27
10134,Senior Engineer,9999-01-01,40000,1953-04-15
10138,Senior Engineer,9999-01-01,53574,1955-04-24
10150,Senior Engineer,9999-01-01,70122,1955-01-29
10153,Assistant Engineer,9999-01-01,54246,1955-12-15
10157,Senior Engineer,9999-01-01,48770,1954-04-23
10159,Senior Engineer,9999-01-01,52881,1955-03-03
10160,Senior Staff,9999-01-01,91622,1953-10-18
10163,Senior Staff,9999-01-01,41603,1952-09-17
10166,Engineer,9999-01-01,51586,1953-05-10
10183,Staff,9999-01-01,40000,1954-10-17
10194,Senior Staff,9999-01-01,64941,1954-01-29
10196,Staff,9999-01-01,86671,1954-01-27
10198,Senior Engineer,9999-01-01,44076,1953-05-28
10203,Senior Staff,9999-01-01,40000,1955-07-27
10205,Senior Engineer,9999-01-01,40000,1953-05-20
10207,Senior Engineer,9999-01-01,52783,1955-05-28
10215,Senior Staff,9999-01-01,43944,1954-04-02
10219,Senior Staff,9999-01-01,40000,1952-05-02
10224,Senior Engineer,9999-01-01,40000,1954-05-17
10228,Senior Staff,9999-01-01,79474,1953-04-21
10230,Senior Staff,9999-01-01,47531,1955-09-11
10233,Senior Staff,9999-01-01,40000,1954-04-01
10239,Staff,9999-01-01,65146,1955-03-31
10240,Engineer,9999-01-01,73874,1952-04-01
10248,Senior Staff,9999-01-01,58918,1955-09-24
10249,Senior Engineer,9999-01-01,72192,1954-06-10
10258,Senior Engineer,9999-01-01,66280,1955-12-12
10262,Staff,9999-01-01,63005,1955-08-04
10272,Staff,9999-01-01,58070,1954-11-30
10281,Senior Engineer,9999-01-01,46123,1953-05-13
10282,Engineer,9999-01-01,40000,1953-11-27
10283,Senior Engineer,9999-01-01,40000,1953-07-08
10284,Engineer,9999-01-01,40000,1954-04-08
10295,Senior Staff,9999-01-01,46398,1953-01-13
10298,Staff,9999-01-01,40000,1954-07-06
10306,Staff,9999-01-01,44229,1953-06-02
10307,Engineer,9999-01-01,40000,1955-07-20
10322,Senior Engineer,9999-01-01,41968,1954-05-28
10325,Senior Staff,9999-01-01,44325,1953-01-12
10326,Staff,9999-01-01,40000,1953-02-13
10328,Engineer,9999-01-01,46286,1955-06-28
10333,Senior Engineer,9999-01-01,45141,1953-04-27
10340,Senior Staff,9999-01-01,68132,1952-08-20
10343,Senior Engineer,9999-01-01,40000,1954-11-01
10347,Staff,9999-01-01,42199,1953-10-03
10349,Senior Staff,9999-01-01,47518,1954-04-29
10353,Senior Staff,9999-01-01,62656,1953-01-15
10355,Staff,9999-01-01,70434,1952-12-10
10356,Senior Staff,9999-01-01,45376,1952-08-12
10358,Technique Leader,9999-01-01,63243,1953-04-08
10364,Senior Engineer,9999-01-01,51401,1954-09-21
10367,Senior Staff,9999-01-01,63565,1955-12-24
10372,Technique Leader,9999-01-01,54505,1952-04-08
10377,Senior Engineer,9999-01-01,40000,1954-08-19
